"Fnc" "Time"
"1" "fnc_combines(y)" 127750555
"2" "fnc_prealloc(y)" 7320347
"3" "fnc_assign(y)" 70861404
"4" "fnc_prealloc(y)" 7334910
"5" "fnc_combines(y)" 162149894
"6" "fnc_combines(y)" 124599995
"7" "fnc_combines(y)" 129367847
"8" "fnc_prealloc(y)" 7688485
"9" "fnc_combines(y)" 119690819
"10" "fnc_assign(y)" 61779463
"11" "fnc_assign(y)" 89259795
"12" "fnc_prealloc(y)" 6622406
"13" "fnc_combines(y)" 116509423
"14" "fnc_prealloc(y)" 6528298
"15" "fnc_prealloc(y)" 7005119
"16" "fnc_prealloc(y)" 8265336
"17" "fnc_prealloc(y)" 6768125
"18" "fnc_combines(y)" 122675085
"19" "fnc_prealloc(y)" 6598451
"20" "fnc_combines(y)" 116786009
"21" "fnc_prealloc(y)" 6642627
"22" "fnc_assign(y)" 61623584
"23" "fnc_combines(y)" 118041684
"24" "fnc_assign(y)" 89804538
"25" "fnc_assign(y)" 61780639
"26" "fnc_combines(y)" 116473024
"27" "fnc_prealloc(y)" 6522822
"28" "fnc_prealloc(y)" 7007142
"29" "fnc_combines(y)" 118118907
"30" "fnc_prealloc(y)" 6971692
"31" "fnc_combines(y)" 117961147
"32" "fnc_assign(y)" 91314073
"33" "fnc_assign(y)" 61338153
"34" "fnc_assign(y)" 62640112
"35" "fnc_prealloc(y)" 6697867
"36" "fnc_combines(y)" 117879354
"37" "fnc_assign(y)" 62619566
"38" "fnc_prealloc(y)" 6651946
"39" "fnc_prealloc(y)" 6817219
"40" "fnc_combines(y)" 119717243
"41" "fnc_prealloc(y)" 6585510
"42" "fnc_assign(y)" 92587341
"43" "fnc_combines(y)" 116321483
"44" "fnc_combines(y)" 116251635
"45" "fnc_prealloc(y)" 6621491
"46" "fnc_assign(y)" 61905182
"47" "fnc_assign(y)" 62569260
"48" "fnc_combines(y)" 116931735
"49" "fnc_prealloc(y)" 6643012
"50" "fnc_assign(y)" 90218775
"51" "fnc_combines(y)" 117580292
"52" "fnc_prealloc(y)" 6794018
"53" "fnc_assign(y)" 62829240
"54" "fnc_prealloc(y)" 6568562
"55" "fnc_assign(y)" 62807702
"56" "fnc_assign(y)" 62183639
"57" "fnc_prealloc(y)" 6795468
"58" "fnc_assign(y)" 92980963
"59" "fnc_prealloc(y)" 6727331
"60" "fnc_prealloc(y)" 6789616
"61" "fnc_combines(y)" 117972745
"62" "fnc_prealloc(y)" 6535248
"63" "fnc_assign(y)" 61534885
"64" "fnc_assign(y)" 73193516
"65" "fnc_combines(y)" 119113355
"66" "fnc_assign(y)" 63236933
"67" "fnc_prealloc(y)" 6714106
"68" "fnc_prealloc(y)" 6851270
"69" "fnc_prealloc(y)" 7478783
"70" "fnc_assign(y)" 92793423
"71" "fnc_combines(y)" 116718853
"72" "fnc_combines(y)" 117197135
"73" "fnc_combines(y)" 118604738
"74" "fnc_combines(y)" 118444545
"75" "fnc_combines(y)" 118189873
"76" "fnc_prealloc(y)" 6550265
"77" "fnc_assign(y)" 91392930
"78" "fnc_assign(y)" 62162883
"79" "fnc_assign(y)" 62419477
"80" "fnc_assign(y)" 62479534
"81" "fnc_prealloc(y)" 6642246
"82" "fnc_assign(y)" 63870681
"83" "fnc_prealloc(y)" 6572797
"84" "fnc_assign(y)" 91757629
"85" "fnc_assign(y)" 61737895
"86" "fnc_assign(y)" 62346825
"87" "fnc_assign(y)" 63090827
"88" "fnc_combines(y)" 116425457
"89" "fnc_prealloc(y)" 6519155
"90" "fnc_combines(y)" 116888020
"91" "fnc_combines(y)" 147421647
"92" "fnc_assign(y)" 64342090
"93" "fnc_combines(y)" 118620008
"94" "fnc_prealloc(y)" 6545149
"95" "fnc_combines(y)" 118411247
"96" "fnc_prealloc(y)" 6520233
"97" "fnc_assign(y)" 63546301
"98" "fnc_prealloc(y)" 6595619
"99" "fnc_combines(y)" 118508293
"100" "fnc_assign(y)" 91141716
"101" "fnc_assign(y)" 62031619
"102" "fnc_prealloc(y)" 6591433
"103" "fnc_combines(y)" 118340508
"104" "fnc_prealloc(y)" 6547484
"105" "fnc_combines(y)" 119101389
"106" "fnc_assign(y)" 62228293
"107" "fnc_assign(y)" 92243003
"108" "fnc_prealloc(y)" 6581992
"109" "fnc_prealloc(y)" 6789903
"110" "fnc_combines(y)" 119048938
"111" "fnc_assign(y)" 63047599
"112" "fnc_combines(y)" 116653206
"113" "fnc_combines(y)" 117135929
"114" "fnc_combines(y)" 117381335
"115" "fnc_prealloc(y)" 6547824
"116" "fnc_assign(y)" 90747480
"117" "fnc_prealloc(y)" 6523825
"118" "fnc_combines(y)" 118448729
"119" "fnc_prealloc(y)" 6556092
"120" "fnc_prealloc(y)" 6816806
"121" "fnc_assign(y)" 65663403
"122" "fnc_assign(y)" 62558616
"123" "fnc_assign(y)" 62944255
"124" "fnc_combines(y)" 149178855
"125" "fnc_assign(y)" 62133504
"126" "fnc_assign(y)" 62463235
"127" "fnc_assign(y)" 62295907
"128" "fnc_prealloc(y)" 6726026
"129" "fnc_prealloc(y)" 6935717
"130" "fnc_prealloc(y)" 7988909
"131" "fnc_assign(y)" 63690506
"132" "fnc_prealloc(y)" 6511228
"133" "fnc_combines(y)" 117253224
"134" "fnc_assign(y)" 92388451
"135" "fnc_prealloc(y)" 6529188
"136" "fnc_prealloc(y)" 7017791
"137" "fnc_assign(y)" 63889906
"138" "fnc_combines(y)" 118562502
"139" "fnc_combines(y)" 116784576
"140" "fnc_assign(y)" 61836873
"141" "fnc_assign(y)" 62853238
"142" "fnc_assign(y)" 91168353
"143" "fnc_assign(y)" 61631561
"144" "fnc_prealloc(y)" 6706003
"145" "fnc_prealloc(y)" 6933553
"146" "fnc_assign(y)" 62453383
"147" "fnc_combines(y)" 116294220
"148" "fnc_combines(y)" 117498833
"149" "fnc_assign(y)" 91429321
"150" "fnc_prealloc(y)" 6832771
"151" "fnc_prealloc(y)" 6743490
"152" "fnc_prealloc(y)" 7634604
"153" "fnc_combines(y)" 116997088
"154" "fnc_combines(y)" 118030218
"155" "fnc_combines(y)" 116144203
"156" "fnc_assign(y)" 61445726
"157" "fnc_prealloc(y)" 6503482
"158" "fnc_prealloc(y)" 6753190
"159" "fnc_assign(y)" 61927451
"160" "fnc_combines(y)" 147321606
"161" "fnc_combines(y)" 116157898
"162" "fnc_assign(y)" 61470894
"163" "fnc_prealloc(y)" 6660956
"164" "fnc_assign(y)" 61410490
"165" "fnc_combines(y)" 118979644
"166" "fnc_assign(y)" 62131164
"167" "fnc_combines(y)" 146472454
"168" "fnc_assign(y)" 61639755
"169" "fnc_assign(y)" 61344861
"170" "fnc_prealloc(y)" 6642407
"171" "fnc_combines(y)" 116650778
"172" "fnc_combines(y)" 118152329
"173" "fnc_assign(y)" 91177411
"174" "fnc_combines(y)" 116992515
"175" "fnc_prealloc(y)" 6528562
"176" "fnc_assign(y)" 61697837
"177" "fnc_assign(y)" 62143212
"178" "fnc_combines(y)" 116707493
"179" "fnc_prealloc(y)" 7649193
"180" "fnc_combines(y)" 117058254
"181" "fnc_assign(y)" 91896989
"182" "fnc_prealloc(y)" 6567504
"183" "fnc_prealloc(y)" 6774853
"184" "fnc_combines(y)" 117081030
"185" "fnc_combines(y)" 117930705
"186" "fnc_assign(y)" 62864484
"187" "fnc_prealloc(y)" 6601840
"188" "fnc_assign(y)" 62898840
"189" "fnc_assign(y)" 92218950
"190" "fnc_combines(y)" 115453768
"191" "fnc_assign(y)" 62503780
"192" "fnc_assign(y)" 62230480
"193" "fnc_assign(y)" 62764199
"194" "fnc_prealloc(y)" 6577888
"195" "fnc_assign(y)" 63423970
"196" "fnc_prealloc(y)" 6528901
"197" "fnc_combines(y)" 148557296
"198" "fnc_combines(y)" 117585771
"199" "fnc_combines(y)" 117430387
"200" "fnc_prealloc(y)" 6785623
"201" "fnc_prealloc(y)" 6850266
"202" "fnc_assign(y)" 61901645
"203" "fnc_prealloc(y)" 6546441
"204" "fnc_combines(y)" 118267305
"205" "fnc_assign(y)" 61324673
"206" "fnc_prealloc(y)" 6538983
"207" "fnc_prealloc(y)" 6725616
"208" "fnc_combines(y)" 147866057
"209" "fnc_prealloc(y)" 6555907
"210" "fnc_assign(y)" 61599145
"211" "fnc_prealloc(y)" 6631662
"212" "fnc_prealloc(y)" 6851700
"213" "fnc_combines(y)" 118705809
"214" "fnc_combines(y)" 116476971
"215" "fnc_assign(y)" 60332395
"216" "fnc_prealloc(y)" 6603021
"217" "fnc_assign(y)" 90509920
"218" "fnc_combines(y)" 116364659
"219" "fnc_combines(y)" 116566340
"220" "fnc_combines(y)" 116692114
"221" "fnc_assign(y)" 63060128
"222" "fnc_assign(y)" 63002731
"223" "fnc_combines(y)" 147554444
"224" "fnc_combines(y)" 118431074
"225" "fnc_combines(y)" 117760316
"226" "fnc_assign(y)" 61382882
"227" "fnc_assign(y)" 61774577
"228" "fnc_prealloc(y)" 6607496
"229" "fnc_prealloc(y)" 7393015
"230" "fnc_prealloc(y)" 6808379
"231" "fnc_combines(y)" 116852187
"232" "fnc_assign(y)" 89547961
"233" "fnc_combines(y)" 116284613
"234" "fnc_combines(y)" 117172866
"235" "fnc_prealloc(y)" 6628050
"236" "fnc_assign(y)" 63145877
"237" "fnc_combines(y)" 117911633
"238" "fnc_prealloc(y)" 6554794
"239" "fnc_prealloc(y)" 6870312
"240" "fnc_combines(y)" 147289892
"241" "fnc_combines(y)" 116438594
"242" "fnc_assign(y)" 61932814
"243" "fnc_combines(y)" 117323944
"244" "fnc_prealloc(y)" 6684635
"245" "fnc_prealloc(y)" 6795971
"246" "fnc_combines(y)" 117694627
"247" "fnc_assign(y)" 62675001
"248" "fnc_combines(y)" 147400324
"249" "fnc_prealloc(y)" 6589029
"250" "fnc_assign(y)" 61968754
"251" "fnc_combines(y)" 118314683
"252" "fnc_combines(y)" 118310697
"253" "fnc_prealloc(y)" 6560508
"254" "fnc_combines(y)" 118215253
"255" "fnc_prealloc(y)" 6502397
"256" "fnc_prealloc(y)" 6846775
"257" "fnc_assign(y)" 63502966
"258" "fnc_combines(y)" 146649387
"259" "fnc_assign(y)" 59645834
"260" "fnc_combines(y)" 116078143
"261" "fnc_assign(y)" 61665426
"262" "fnc_assign(y)" 62211986
"263" "fnc_prealloc(y)" 6556672
"264" "fnc_assign(y)" 90482578
