"Fnc" "Time"
"1" "fnc_assign(y50000)" 1777028521
"2" "fnc_assign(y1000)" 1315465
"3" "fnc_assign(y5000)" 20535071
"4" "fnc_assign(y50000)" 1731034321
"5" "fnc_assign(y10000)" 81581769
"6" "fnc_assign(y30000)" 756713403
"7" "fnc_assign(y5000)" 23102731
"8" "fnc_assign(y1000)" 2080969
"9" "fnc_assign(y40000)" 1275488005
"10" "fnc_assign(y10000)" 63313769
"11" "fnc_assign(y30000)" 573227564
"12" "fnc_assign(y5000)" 18766748
"13" "fnc_assign(y50000)" 1624929259
"14" "fnc_assign(y1000)" 2091594
"15" "fnc_assign(y1000)" 1222432
"16" "fnc_assign(y40000)" 1307786184
"17" "fnc_assign(y40000)" 1323372932
"18" "fnc_assign(y20000)" 327074464
"19" "fnc_assign(y10000)" 82234135
"20" "fnc_assign(y50000)" 1967771981
"21" "fnc_assign(y5000)" 29646773
"22" "fnc_assign(y100)" 178969
"23" "fnc_assign(y5000)" 25518037
"24" "fnc_assign(y50000)" 1988259317
"25" "fnc_assign(y100)" 113122
"26" "fnc_assign(y10000)" 62728532
"27" "fnc_assign(y100)" 109883
"28" "fnc_assign(y30000)" 572088115
"29" "fnc_assign(y40000)" 1042876117
"30" "fnc_assign(y100)" 124139
"31" "fnc_assign(y10000)" 64682836
"32" "fnc_assign(y20000)" 313705594
"33" "fnc_assign(y40000)" 1143701037
"34" "fnc_assign(y1000)" 1324245
"35" "fnc_assign(y20000)" 235212926
"36" "fnc_assign(y40000)" 1135289443
"37" "fnc_assign(y40000)" 1157367496
"38" "fnc_assign(y40000)" 1316150710
"39" "fnc_assign(y100)" 112602
"40" "fnc_assign(y40000)" 1148351446
"41" "fnc_assign(y40000)" 1243555112
"42" "fnc_assign(y5000)" 18724594
"43" "fnc_assign(y1000)" 1357660
"44" "fnc_assign(y40000)" 1316468230
"45" "fnc_assign(y40000)" 1277847077
"46" "fnc_assign(y10000)" 85250544
"47" "fnc_assign(y5000)" 25357609
"48" "fnc_assign(y50000)" 1778756782
"49" "fnc_assign(y40000)" 1218373581
"50" "fnc_assign(y20000)" 325302434
"51" "fnc_assign(y100)" 124487
"52" "fnc_assign(y5000)" 19784782
"53" "fnc_assign(y5000)" 19085302
"54" "fnc_assign(y100)" 113959
"55" "fnc_assign(y40000)" 1208755158
"56" "fnc_assign(y10000)" 120411307
"57" "fnc_assign(y5000)" 18449100
"58" "fnc_assign(y20000)" 237638471
"59" "fnc_assign(y10000)" 91802058
"60" "fnc_assign(y100)" 112170
"61" "fnc_assign(y1000)" 2162256
"62" "fnc_assign(y5000)" 18699471
"63" "fnc_assign(y100)" 117188
"64" "fnc_assign(y10000)" 69030667
"65" "fnc_assign(y1000)" 2134064
"66" "fnc_assign(y10000)" 62375281
"67" "fnc_assign(y5000)" 19668368
"68" "fnc_assign(y40000)" 1164121244
"69" "fnc_assign(y20000)" 234298192
"70" "fnc_assign(y30000)" 713407291
"71" "fnc_assign(y5000)" 24735578
"72" "fnc_assign(y5000)" 22628716
"73" "fnc_assign(y50000)" 1993346532
"74" "fnc_assign(y5000)" 18703584
"75" "fnc_assign(y20000)" 265058028
"76" "fnc_assign(y100)" 122210
"77" "fnc_assign(y10000)" 63191080
"78" "fnc_assign(y50000)" 1615852580
"79" "fnc_assign(y5000)" 18968696
"80" "fnc_assign(y50000)" 1629545216
"81" "fnc_assign(y30000)" 574240843
"82" "fnc_assign(y40000)" 1212818178
"83" "fnc_assign(y30000)" 673997671
"84" "fnc_assign(y50000)" 1627387950
"85" "fnc_assign(y10000)" 92920758
"86" "fnc_assign(y100)" 108202
"87" "fnc_assign(y40000)" 1087940602
"88" "fnc_assign(y50000)" 1779945846
"89" "fnc_assign(y20000)" 241720109
"90" "fnc_assign(y50000)" 1939908195
"91" "fnc_assign(y30000)" 694734489
"92" "fnc_assign(y5000)" 23444483
"93" "fnc_assign(y20000)" 338384759
"94" "fnc_assign(y30000)" 676152620
"95" "fnc_assign(y40000)" 1003662317
"96" "fnc_assign(y1000)" 2053631
"97" "fnc_assign(y5000)" 18852762
"98" "fnc_assign(y10000)" 64199671
"99" "fnc_assign(y30000)" 572462730
"100" "fnc_assign(y40000)" 1277913417
"101" "fnc_assign(y100)" 122719
"102" "fnc_assign(y100)" 107336
"103" "fnc_assign(y100)" 104290
"104" "fnc_assign(y30000)" 617239946
"105" "fnc_assign(y50000)" 1983199346
"106" "fnc_assign(y100)" 119688
"107" "fnc_assign(y30000)" 573265536
"108" "fnc_assign(y50000)" 1665514683
"109" "fnc_assign(y1000)" 1321691
"110" "fnc_assign(y20000)" 270190768
"111" "fnc_assign(y30000)" 540236557
"112" "fnc_assign(y50000)" 1654184878
"113" "fnc_assign(y40000)" 1043159805
"114" "fnc_assign(y1000)" 2061533
"115" "fnc_assign(y40000)" 1150869915
"116" "fnc_assign(y1000)" 1313396
"117" "fnc_assign(y20000)" 326295081
"118" "fnc_assign(y100)" 252499
"119" "fnc_assign(y40000)" 1246165767
"120" "fnc_assign(y100)" 122416
"121" "fnc_assign(y100)" 107199
"122" "fnc_assign(y5000)" 23217811
"123" "fnc_assign(y10000)" 133332380
"124" "fnc_assign(y50000)" 2166218143
"125" "fnc_assign(y50000)" 1982131009
"126" "fnc_assign(y1000)" 2150948
"127" "fnc_assign(y30000)" 710742042
"128" "fnc_assign(y10000)" 75701013
"129" "fnc_assign(y40000)" 1018779452
"130" "fnc_assign(y40000)" 1064743835
"131" "fnc_assign(y1000)" 1315162
"132" "fnc_assign(y20000)" 324929328
"133" "fnc_assign(y50000)" 1642394099
"134" "fnc_assign(y5000)" 19713871
"135" "fnc_assign(y20000)" 260196591
"136" "fnc_assign(y30000)" 569123340
"137" "fnc_assign(y30000)" 571440215
"138" "fnc_assign(y20000)" 260305263
"139" "fnc_assign(y10000)" 70746004
"140" "fnc_assign(y10000)" 77282136
"141" "fnc_assign(y100)" 117988
"142" "fnc_assign(y30000)" 613030562
"143" "fnc_assign(y10000)" 64850834
"144" "fnc_assign(y5000)" 18457547
"145" "fnc_assign(y1000)" 1282112
"146" "fnc_assign(y30000)" 682137520
"147" "fnc_assign(y20000)" 320542897
"148" "fnc_assign(y1000)" 1372267
"149" "fnc_assign(y40000)" 1143820147
"150" "fnc_assign(y5000)" 19581605
"151" "fnc_assign(y1000)" 1310456
"152" "fnc_assign(y10000)" 93857171
"153" "fnc_assign(y100)" 107723
"154" "fnc_assign(y40000)" 1160707787
"155" "fnc_assign(y5000)" 22908451
"156" "fnc_assign(y30000)" 686762492
"157" "fnc_assign(y5000)" 19795965
"158" "fnc_assign(y1000)" 2502826
"159" "fnc_assign(y5000)" 21775655
"160" "fnc_assign(y1000)" 3130766
"161" "fnc_assign(y1000)" 1350207
"162" "fnc_assign(y40000)" 1143214975
"163" "fnc_assign(y30000)" 573459634
"164" "fnc_assign(y20000)" 264949616
"165" "fnc_assign(y10000)" 64962427
"166" "fnc_assign(y5000)" 18963584
"167" "fnc_assign(y30000)" 576607279
"168" "fnc_assign(y100)" 120616
"169" "fnc_assign(y1000)" 1334148
"170" "fnc_assign(y10000)" 63977219
"171" "fnc_assign(y100)" 113485
"172" "fnc_assign(y100)" 105239
"173" "fnc_assign(y5000)" 18109065
"174" "fnc_assign(y50000)" 1631793880
"175" "fnc_assign(y100)" 113750
"176" "fnc_assign(y20000)" 264323635
"177" "fnc_assign(y100)" 124356
"178" "fnc_assign(y50000)" 1671605643
"179" "fnc_assign(y100)" 119770
"180" "fnc_assign(y5000)" 23492081
"181" "fnc_assign(y50000)" 1917273128
"182" "fnc_assign(y5000)" 34697188
"183" "fnc_assign(y20000)" 327222119
"184" "fnc_assign(y50000)" 1865806217
"185" "fnc_assign(y20000)" 303078494
"186" "fnc_assign(y40000)" 1298347683
"187" "fnc_assign(y100)" 129588
"188" "fnc_assign(y5000)" 18939621
"189" "fnc_assign(y10000)" 65838704
"190" "fnc_assign(y40000)" 1122210436
"191" "fnc_assign(y20000)" 296453088
"192" "fnc_assign(y100)" 116273
"193" "fnc_assign(y40000)" 1141777657
"194" "fnc_assign(y30000)" 614595183
"195" "fnc_assign(y50000)" 1849600086
"196" "fnc_assign(y1000)" 1291615
"197" "fnc_assign(y30000)" 580675666
"198" "fnc_assign(y5000)" 47857570
"199" "fnc_assign(y20000)" 228054236
"200" "fnc_assign(y50000)" 1676454937
"201" "fnc_assign(y50000)" 1640824255
"202" "fnc_assign(y50000)" 1925339428
"203" "fnc_assign(y50000)" 1608036456
"204" "fnc_assign(y1000)" 1265159
"205" "fnc_assign(y10000)" 63968462
"206" "fnc_assign(y50000)" 1580579998
"207" "fnc_assign(y50000)" 1570771961
"208" "fnc_assign(y40000)" 1027768739
"209" "fnc_assign(y30000)" 572532592
"210" "fnc_assign(y40000)" 1008047405
"211" "fnc_assign(y20000)" 262898400
"212" "fnc_assign(y5000)" 18437324
"213" "fnc_assign(y10000)" 63270931
"214" "fnc_assign(y10000)" 62335882
"215" "fnc_assign(y1000)" 31361660
"216" "fnc_assign(y50000)" 1585101390
"217" "fnc_assign(y40000)" 1028265934
"218" "fnc_assign(y10000)" 64085341
"219" "fnc_assign(y50000)" 1593936380
"220" "fnc_assign(y1000)" 2074318
"221" "fnc_assign(y5000)" 48548366
"222" "fnc_assign(y5000)" 18019178
"223" "fnc_assign(y50000)" 1772759958
"224" "fnc_assign(y30000)" 764861278
"225" "fnc_assign(y30000)" 714748293
"226" "fnc_assign(y1000)" 1459248
"227" "fnc_assign(y1000)" 2189493
"228" "fnc_assign(y30000)" 582523307
"229" "fnc_assign(y5000)" 18889579
"230" "fnc_assign(y40000)" 1010453731
"231" "fnc_assign(y1000)" 1315796
"232" "fnc_assign(y30000)" 580778682
"233" "fnc_assign(y40000)" 1027707355
"234" "fnc_assign(y100)" 120906
"235" "fnc_assign(y1000)" 2090939
"236" "fnc_assign(y30000)" 574526022
"237" "fnc_assign(y5000)" 17913402
"238" "fnc_assign(y40000)" 1009388321
"239" "fnc_assign(y20000)" 265082681
"240" "fnc_assign(y1000)" 1315437
"241" "fnc_assign(y10000)" 62167737
"242" "fnc_assign(y5000)" 17993994
"243" "fnc_assign(y1000)" 2173822
"244" "fnc_assign(y5000)" 18367784
"245" "fnc_assign(y10000)" 65723640
"246" "fnc_assign(y5000)" 18481506
"247" "fnc_assign(y1000)" 1314206
"248" "fnc_assign(y50000)" 1619751200
"249" "fnc_assign(y50000)" 1619343701
"250" "fnc_assign(y5000)" 18192411
"251" "fnc_assign(y100)" 109007
"252" "fnc_assign(y40000)" 1005517181
"253" "fnc_assign(y100)" 117252
"254" "fnc_assign(y50000)" 1620025002
"255" "fnc_assign(y40000)" 1004822782
"256" "fnc_assign(y100)" 116189
"257" "fnc_assign(y20000)" 258295839
"258" "fnc_assign(y50000)" 1809485259
"259" "fnc_assign(y100)" 130183
"260" "fnc_assign(y5000)" 19327160
"261" "fnc_assign(y20000)" 266389081
"262" "fnc_assign(y20000)" 231779047
"263" "fnc_assign(y5000)" 19042565
"264" "fnc_assign(y30000)" 569970380
"265" "fnc_assign(y50000)" 1779813340
"266" "fnc_assign(y30000)" 775244693
"267" "fnc_assign(y40000)" 1034717918
"268" "fnc_assign(y50000)" 1749916440
"269" "fnc_assign(y30000)" 579899133
"270" "fnc_assign(y5000)" 18127364
"271" "fnc_assign(y10000)" 62949811
"272" "fnc_assign(y5000)" 19007083
"273" "fnc_assign(y1000)" 1401941
"274" "fnc_assign(y100)" 102134
"275" "fnc_assign(y40000)" 1028422507
"276" "fnc_assign(y40000)" 999297342
"277" "fnc_assign(y40000)" 1025968734
"278" "fnc_assign(y100)" 109024
"279" "fnc_assign(y30000)" 541756659
"280" "fnc_assign(y5000)" 18733661
"281" "fnc_assign(y10000)" 91578593
"282" "fnc_assign(y30000)" 539588057
"283" "fnc_assign(y40000)" 1069647794
"284" "fnc_assign(y100)" 141910
"285" "fnc_assign(y40000)" 1255168798
"286" "fnc_assign(y1000)" 2408129
"287" "fnc_assign(y50000)" 1628527341
"288" "fnc_assign(y100)" 126163
"289" "fnc_assign(y20000)" 291743911
"290" "fnc_assign(y30000)" 570387387
"291" "fnc_assign(y1000)" 1276238
"292" "fnc_assign(y100)" 100843
"293" "fnc_assign(y1000)" 1197894
